,id,title,tagline,release_date,genres,belongs_to_collection,original_language,budget,revenue,production_companies,production_countries,vote_count,vote_average,popularity,runtime,overview,spoken_languages,adult,poster_path
0,581387,Ashfall,,2019-12-19,Action|Adventure|Thriller,,ko,17700000.0,61321941,Dexter Studios|CJ Entertainment|Perfect Storm Film|Dexter Pictures,South Korea,235.0,6.5,746.643,128,A group of unlikely heroes from across the Korean peninsula try to save the day after a volcano erupts on the mythical and majestic Baekdu Mountain.,English|한국어/조선말,False,/zoeKREZ2IdAUnXISYCS0E6H5BVh.jpg
1,607383,Aquaslash,Your killer vacation awaits,2019-07-29,Horror|Comedy,,en,,0,Rockzeline|La Guérilla,Canada|France,51.0,4.0,464.131,72,"To celebrate their graduation, the teenagers from Valley Hills High School have organized an ’80s-themed party at the old Wet Valley water park. Things turn gruesome when it's revealed that a mysterious maniac has inserted giant razor blades into one of the water slides. The water park thus becomes the backdrop for a bloodbath (literally), and everyone is a suspect...",English|Nederlands,False,/wB8qqLIaYDkYEnjbS5hAJiTuYU6.jpg
2,495764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),Mind Over Mayhem,2020-02-05,Action|Crime,Suicide Squad Collection,en,75000000.0,201858461,DC Entertainment|LuckyChap Entertainment|Kroll & Co Entertainment|Warner Bros. Pictures|DC Comics|DC Films|Clubhouse Pictures,United States of America,7399.0,7.1,509.677,109,"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.",English|Türkçe,False,/h4VB6m0RwcicVEZvzftYZyKXs6K.jpg
3,38700,Bad Boys for Life,Ride together. Die together.,2020-01-15,Thriller|Action|Crime,Bad Boys Collection,en,90000000.0,426505244,Columbia Pictures|Platinum Dunes|2.0 Entertainment|Don Simpson/Jerry Bruckheimer Films|Overbrook Entertainment,United States of America,6214.0,7.2,494.478,124,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",English|Español,False,/y95lQLnuNKdPAzw9F9Ab8kJ80c3.jpg
4,609242,The Heist of the Century,The Story Of The Theft That Made History,2020-01-16,Comedy|Thriller|Crime,,es,,0,Viacom International Inc.|Telefe|AZ Films|MarVista Entertainment,Argentina,483.0,7.9,405.567,114,"In 2006, a group of thieves performed what is considered one of the most famous and smart bank heists in the history of Argentina. How they robbed the Rio bank is as surprising as what happened afterwards. This is their story.",Español,False,/aSGwXbaTMxUhrfXT6xyZKqoklfB.jpg
5,592350,My Hero Academia: Heroes Rising,,2019-12-20,Animation|Action|Fantasy|Adventure,My Hero Academia Collection,ja,,29900850,"BONES|DENTSU|Movic|Nippon Television Network Corporation|Shueisha|Sony Music Entertainment (Japan)|Toho Company, Ltd.|Yomiuri-TV Enterprise|TOHO Animation",Japan,682.0,8.5,459.892,104,"Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it's more like a vacation … until they're attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens' lives on the line, there's no time for questions. Deku and his friends are the next generation of heroes, and they're the island's only hope.",日本語,False,/zGVbrulkupqpbwgiNedkJPyQum4.jpg
6,384018,Fast & Furious Presents: Hobbs & Shaw,,2019-08-01,Action|Adventure|Comedy,Hobbs & Shaw Collection,en,200000000.0,760098996,Chris Morgan Productions|Seven Bucks Productions|Universal Pictures,United States of America,4835.0,6.9,410.165,137,"Ever since US Diplomatic Security Service Agent Hobbs and lawless outcast Shaw first faced off, they just have traded smack talk and body blows. But when cyber-genetically enhanced anarchist Brixton's ruthless actions threaten the future of humanity, they join forces to defeat him.",English|Pусский|,False,/qRyy2UmjC5ur9bDi3kpNNRCc5nc.jpg
7,666750,Dragonheart: Vengeance,,2020-02-04,Fantasy|Action|Adventure,DragonHeart Collection,en,,0,Universal Pictures,United States of America,217.0,7.0,367.715,97,"Lukas, a young farmer whose family is killed by savage raiders in the countryside, sets out on an epic quest for revenge, forming an unlikely trio with a majestic dragon and a swashbuckling, sword-fighting mercenary, Darius.",Deutsch|English|Français,False,/qs6gz6atyQcAvqC6qZaslOjliUG.jpg
8,667388,Pray for Us,,2019-12-17,,,es,10000.0,0,,,,0.0,391.036,16,"In a desolate supermarket, a religious woman's peaceful evening is interrupted by the sudden arrival of three punks, who are running away from the police and hiding something much more valuable than money.",Español,False,/qmIE6PwIA9a5fkB1mn9hdtpOUa5.jpg
9,582306,Assassin 33 A.D.,What if the greatest event in human history was erased?,2020-01-24,Science Fiction|Action|Adventure|Mystery|History|Fantasy,,en,,0,,United States of America,58.0,5.2,378.219,108,"When a billionaire gives a group of young scientists unlimited resources to study the science of matter transfer, the scientists unlock the secrets of time travel. But they soon find out that the project is backed by a militant extremist group, and the billionaire plans to go back in time and prove that Jesus never rose from the dead.",English,False,/8jDvtdH327I8TgX3UPdkAsZF1dA.jpg
10,475557,Joker,Put on a happy face.,2019-10-02,Crime|Thriller|Drama,,en,55000000.0,1074251311,Warner Bros. Pictures|Joint Effort|Village Roadshow Pictures|Bron Studios|Creative Wealth Media Finance|DC Entertainment|DC Films|DC Comics,Canada|United States of America,17400.0,8.2,375.823,122,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",English,False,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg
11,684369,West,,2019-11-05,Thriller,,es,,0,El dedo en el Ojo,,3.0,5.0,295.711,99,"A fugitive film director in exile, called H, returns to the industrial city of which he fled in the past, in a time and place unknown. Gloria, the working woman who loved and left behind lives subjected to routine. But H, unable to adapt, convince her to run away together to a place that no one remembers the outside of civilization.",Español,False,/6Bp5EyQCunRumsswNyw9FzWM5Ji.jpg
12,299536,Avengers: Infinity War,An entire universe. Once and for all.,2018-04-25,Adventure|Action|Science Fiction,The Avengers Collection,en,300000000.0,2046239637,Marvel Studios,United States of America,21627.0,8.3,340.109,149,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",English|,False,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg
13,512200,Jumanji: The Next Level,,2019-12-04,Adventure|Comedy|Fantasy,Jumanji Collection,en,125000000.0,796575993,Columbia Pictures|Seven Bucks Productions|Matt Tolmach Productions|The Detective Agency,United States of America,5731.0,7.0,308.75,123,"As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game.",English,False,/jyw8VKYEiM1UDzPB7NsisUgBeJ8.jpg
14,373571,Godzilla: King of the Monsters,Long live the king.,2019-05-29,Science Fiction|Action,Godzilla Collection,en,170000000.0,386600138,"Legendary Pictures|Warner Bros. Pictures|Huahua Media|Toho Company, Ltd.|Wanda Qingdao Studios",Canada|China|Japan|United States of America,4038.0,6.7,279.448,132,"Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",普通话|English|日本語,False,/pU3bnutJU91u3b4IeRPQTOP8jhV.jpg
15,461130,Code 8,Fear is the most dangerous power,2019-12-06,Science Fiction|Action|Crime|Thriller|Drama,,en,,157209,Colony Pictures|The Fyzz|Lane E Productions|XYZ Films|Blue Ice Pictures|Téléfilm Canada|Collective Pictures,Canada|United Kingdom|United States of America,1153.0,6.2,259.029,99,"In Lincoln City, some inhabitants have extraordinary abilities. Most live below the poverty line, under the close surveillance of a heavily militarized police force. Connor, a construction worker with powers, involves with a criminal gang to help his ailing mother. (Based on the short film “Code 8,” 2016.)",English,False,/izGX7npHEopDQvngYcxMJEfcFbj.jpg
16,509967,6 Underground,They say no one can save the world. Meet no one.,2019-12-10,Action|Thriller|Comedy,,en,150000000.0,0,Skydance Media|Bay Films,United States of America,3043.0,6.3,260.299,128,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",English,False,/lnWkyG3LLgbbrIEeyl5mK5VRFe4.jpg
17,596247,Pacto de Fuga,Based on the most daring prison escape of all time.,2020-01-23,Drama|Thriller,,es,,0,Storyboard Media|Calibre 71,Chile,56.0,7.8,247.606,138,"During the last years of Pinochet's military regime,  a group of militants from the ""Manuel Rodríguez Patriotic Front"" plan a prison break of political prisoners, through a tunnel that will take them 18 months to dig.",Español,False,/qDFfu73R8uO94ydFtdxEdSfTlg6.jpg
18,299534,Avengers: Endgame,Part of the journey is the end.,2019-04-24,Adventure|Science Fiction|Action,The Avengers Collection,en,356000000.0,2797800564,Marvel Studios,United States of America,17961.0,8.3,284.846,181,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",English|日本語|,False,/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg
19,290859,Terminator: Dark Fate,Welcome to the day after judgement day,2019-10-23,Action|Adventure|Science Fiction,The Terminator Collection,en,185000000.0,261119292,Lightstorm Entertainment|Skydance Media|20th Century Fox|Paramount|Tencent Pictures|TSG Entertainment|Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA)|Ministry of Finance of Spain|Ministerio de Cultura|Hungarian National Film Fund|Mid Atlantic Films,China|Hungary|Spain|United States of America,3429.0,6.5,294.48,128,"Decades after Sarah Connor prevented Judgment Day, a lethal new Terminator is sent to eliminate the future leader of the resistance. In a fight to save mankind, battle-hardened Sarah Connor teams up with an unexpected ally and an enhanced super soldier to stop the deadliest Terminator yet.",English|Español,False,/vqzNJRH4YyquRiWxCCOH0aXggHI.jpg
